window_idx,tx_global_idx,tx_in_window_idx,attention_score,window_score,z_amount,density,counterparty_novelty,value_ratio
0,0,0,0.005740500520914793,0.9999986886978149,0.0,2.0,1.0,0.0
0,1,1,0.00319920782931149,0.9999986886978149,0.0,2.0,0.0,0.0
0,2,2,0.005825917702168226,0.9999986886978149,0.0,1.0,0.0,0.0
0,3,3,0.005825917702168226,0.9999986886978149,0.0,1.0,0.0,0.0
0,4,4,0.005825917702168226,0.9999986886978149,0.0,1.0,0.0,0.0
0,5,5,0.01273217611014843,0.9999986886978149,0.0,1.0,1.0,0.0
0,6,6,0.005825917702168226,0.9999986886978149,0.0,1.0,0.0,0.0
0,7,7,0.005825917702168226,0.9999986886978149,0.0,1.0,0.0,0.0
0,8,8,0.005825917702168226,0.9999986886978149,0.0,1.0,0.0,0.0
0,9,9,0.005740500520914793,0.9999986886978149,0.0,2.0,1.0,0.0
0,10,10,0.00319920782931149,0.9999986886978149,0.0,2.0,0.0,0.0
0,11,11,0.005825917702168226,0.9999986886978149,0.0,1.0,0.0,0.0
0,12,12,0.002576127415522933,0.9999986886978149,0.0,3.0,0.0,0.0
0,13,13,0.002576127415522933,0.9999986886978149,0.0,3.0,0.0,0.0
0,14,14,0.002576127415522933,0.9999986886978149,0.0,3.0,0.0,0.0
